# t(s), PGD_base(m), Drift_abs(m), Drift_norm(mm/m), Prob(%)
12.700, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.705, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.710, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.715, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.720, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.725, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.730, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.735, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.740, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.745, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.750, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.755, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.760, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.765, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.770, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.775, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.780, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.785, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.790, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.795, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.800, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.805, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.810, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.815, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.820, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.825, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.830, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.835, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.840, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.845, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.850, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.855, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.860, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.865, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.870, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.875, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.880, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.885, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.890, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.895, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.900, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.905, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.910, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.915, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.920, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.925, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.930, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.935, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.940, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.945, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.950, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.955, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.960, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.965, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.970, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.975, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.980, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.985, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.990, 2.622107e-06, 3.984022e-06, 0.00, 0.00
12.995, 3.627251e-06, 3.984022e-06, 0.00, 0.00
13.000, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.005, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.010, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.015, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.020, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.025, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.030, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.035, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.040, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.045, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.050, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.055, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.060, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.065, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.070, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.075, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.080, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.085, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.090, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.095, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.100, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.105, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.110, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.115, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.120, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.125, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.130, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.135, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.140, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.145, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.150, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.155, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.160, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.165, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.170, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.175, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.180, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.185, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.190, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.195, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.200, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.205, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.210, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.215, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.220, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.225, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.230, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.235, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.240, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.245, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.250, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.255, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.260, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.265, 4.440579e-06, 4.695798e-06, 0.00, 0.00
